Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-04-20 00:00:00-04:00,41.01057062283977,41.31724197175576,40.195872821408315,40.223751068115234,24401700,0.0,0.0
2020-04-21 00:00:00-04:00,40.29190443789028,40.58928424463117,39.700243195425024,40.0255012512207,27900600,0.0,0.0
2020-04-22 00:00:00-04:00,40.27021440856967,41.00747063731361,39.92946808485334,40.762752532958984,19448100,0.0,0.0
2020-04-23 00:00:00-04:00,40.22375382450051,40.607870288441454,39.56704098118163,39.814857482910156,28839900,0.0,0.0
2020-04-24 00:00:00-04:00,40.06887010386672,40.23614313801789,39.82414843186242,40.09674835205078,17343600,0.0,0.0
2020-04-27 00:00:00-04:00,40.270212291216225,40.366244050575204,39.70333102665956,39.74360275268555,17923800,0.0,0.0
2020-04-28 00:00:00-04:00,39.737417484631514,40.34457065050991,39.55775094096963,39.65068435668945,20732100,0.0,0.0
2020-04-29 00:00:00-04:00,38.89792941128098,38.956784271550966,37.96242002769057,38.287681579589844,44612100,0.0,0.0
2020-04-30 00:00:00-04:00,38.1266080664491,38.23812460937642,37.49467508144933,37.65265655517578,40497900,0.0,0.0
2020-05-01 00:00:00-04:00,37.63097190445894,38.31556656969058,37.4141320133681,38.07704162597656,31143900,0.0,0.0
2020-05-04 00:00:00-04:00,38.36202729152473,38.535500603381,37.70221612241303,38.318660736083984,17807700,0.0,0.0
2020-05-05 00:00:00-04:00,38.34964139988572,38.801907861687106,38.182364811891325,38.63772964477539,19337400,0.0,0.0
2020-05-06 00:00:00-04:00,38.78641261920492,38.87314926878275,38.05535315642075,38.19474792480469,17309100,0.0,0.0
2020-05-07 00:00:00-04:00,38.41255337107301,38.57434536173125,37.80273297748897,37.924076080322266,27345600,0.18,0.0
2020-05-08 00:00:00-04:00,38.19164917180088,38.27254338257617,37.84006788450116,38.250762939453125,20830800,0.0,0.0
2020-05-11 00:00:00-04:00,38.28187670395717,38.67701888659048,38.27254426277057,38.47789001464844,25341900,0.0,0.0
2020-05-12 00:00:00-04:00,38.72990156356179,39.09703923413548,38.512107849121094,38.512107849121094,19100100,0.0,0.0
2020-05-13 00:00:00-04:00,38.424995794469304,39.277502269933855,38.297428708757835,38.490333557128906,29175300,0.0,0.0
2020-05-14 00:00:00-04:00,38.84502413626441,38.93213877338248,37.74049912634964,38.40010070800781,22233000,0.0,0.0
2020-05-15 00:00:00-04:00,38.415658087377054,39.18415832519531,38.29742700766341,39.18415832519531,31770000,0.0,0.0
2020-05-18 00:00:00-04:00,39.6695256277823,39.999326414574625,39.23393820496044,39.71930694580078,38633700,0.0,0.0
2020-05-19 00:00:00-04:00,40.9918486112683,41.06651881576418,38.83257971127215,38.87614059448242,74746200,0.0,0.0
