Symbol,Linear_RMSE,Kernel_RMSE,Linear_R2,Kernel_R2
AAPL,10.69355027648345,9.981664774965592,0.6469751305068385,0.6924133864444983
MSFT,13.184943401625151,12.924773331530501,0.5717579432105715,0.5884916544575123
JPM,9.332229471457078,9.053925126432421,0.84899686395262,0.85786895607915
BAC,1.6632161278802708,1.684720250457374,0.7450425684000004,0.7384071360837158
JNJ,3.394581663972641,3.39117458811528,0.797328135479086,0.7977347669612043
PFE,0.8755985443188566,0.8773739615123584,0.6574968595441593,0.6561064907170281
XOM,3.776890861797663,3.628711398609182,0.3008367056204678,0.3546213311762215
CVX,6.055516167765187,5.586440331840235,0.307589738082778,0.41070671994276253
PG,4.072903616849398,3.967116131613992,0.11455429639425607,0.15995317003694676
KO,1.6643487873374876,1.6478455990685046,0.8121182085245452,0.8158256958556896
WMT,3.280636073135047,3.335037418896185,0.9235925314461715,0.9210374578992206
AMZN,8.748931513360592,8.863090659884582,0.7930152806341744,0.7875784201595228
BA,9.771974597719357,9.80629564858074,0.44331336000981647,0.4393961122954734
GE,9.966888836355816,8.408597855447937,0.5828611943092725,0.7031011401864344
VZ,1.1450600754017914,1.160239325955912,0.7080676020804746,0.7002764188731087
T,1.1113094424729522,1.0716057075995669,0.888164864436834,0.8960131803626891
HD,14.347554725198243,13.418242432877781,0.7770016902009136,0.804953994776531
LOW,8.39859390684293,8.24783029579227,0.8021782928892749,0.809216762970185
MCD,7.966201734577781,7.849985031473711,0.8507933360710422,0.855115049399412
SBUX,5.953111831240075,5.79569899206886,0.7458020844244827,0.7590674116066697
