Symbol,Linear_RMSE,Kernel_RMSE,Linear_R2,Kernel_R2
AAPL,10.3115185440056,9.804685055426239,0.7192154341226777,0.7461394168290014
MSFT,12.8615989566153,12.636951745330212,0.5717455921360617,0.5865751581934976
JPM,9.113735623342968,9.028258994172255,0.8624091632922107,0.8649779561214868
BAC,1.6634135016122062,1.6729610537287483,0.7442487278781876,0.7413044133886163
JNJ,3.3302159101608715,3.3093202145545373,0.813681771173984,0.8160125718518847
PFE,0.8674958514676961,0.8705705510058697,0.5953507779626971,0.5924772664347355
XOM,3.560517034327633,3.4261279925330967,0.31514526706155654,0.3658682588474673
CVX,5.757298073752755,5.368839818964123,0.32389391638852916,0.4120528253587564
PG,4.030368968043021,3.9836423204933875,0.19042785830890452,0.2090908178971912
KO,1.6472658485036784,1.6489596680156733,0.813649052292263,0.8132656203716953
WMT,3.089545775477965,2.8942070434584877,0.9358640039036813,0.943717708918147
AMZN,8.63366228215002,8.781497179678423,0.800347676250019,0.7934518124349094
BA,9.610335370111441,9.675178519516026,0.4516182509731429,0.4441931695331177
GE,9.290432346463865,8.266416389024476,0.6455901616989683,0.7194124003201305
VZ,1.138241701582804,1.1446928880718334,0.7135080325137079,0.7102513416985743
T,1.1080038986863037,1.1166984066675583,0.8900110301592585,0.8882780903729923
HD,14.240868868626174,13.231050686313786,0.7901495655595141,0.8188553282349598
LOW,8.386021520155543,8.192957165094391,0.7988389425060283,0.8079946484671978
MCD,7.85727356156646,7.738566290986892,0.8504670379054179,0.8549511790564062
SBUX,5.906372478756362,5.765727140180966,0.7488940461914843,0.7607105683830013
